HarressarGender,Major,Institution,Experience
male,social&humanities,Other R1,"At the beginning of my Ph.D. program, I would stop by the office of a professor whose work I admired. It was my second semester in the program and I was enrolled in his course. As we were talking, he asked me who I was TA-ing for. I told him and he then asked if ""the freshmen boys thought she was attractive?"" I felt blindsided by this question and uncomfortable. I responded with ""Why would I know that?"" I found it creepy, but shook it off as an older man trying to be funny. On another occasion, he lamented to me how the undergraduates now were all too busy on their phones between class instead of ""going back to their dorm rooms to get to know each other better."" He would always pepper our conversations with comments like these which made interacting with him uncomfortable. I was hoping to get some kind of guidance and mentorship as I went through the program since he is recognized name in the field. I never felt like I was taken seriously because of his inappropriate comments. Another time, I was dressed up to give a lecture in a tasteful outfit which included a knee-length pencil skirt and knee-high boots--holdovers from a previous job in an non-profit office setting. He came up to me in a hallway and stood much too close to tell me how ""sexy"" he thought my outfit was and how I should dress like that more often. That was the last time I ever wore a skirt. The rest of the time in the program, I dressed androgynously in jeans and over-sized t-shirts. I also stopped going by his office. Whatever contacts or advice he could have given me was not worth having to listen to his creepy comments about his loneliness or how he'd love to have his female students to his apartment, but ""the bed is much too small."" I felt that he was testing the waters to see if he could get away with more than just saying something questionable. I decided I never wanted to be alone with him, ever. Comparing notes with other females students, I found out he did it to almost every women he encountered, but since he was a decades-long member of the faculty, nothing was ever done about his behavior.He may have received a slap on the wrist about 15 years ago, but that's about all. I changed the direction of my study so I would not have to take his courses, or include him on my dissertation committee. It caused me stress and made me doubt myself and my worth as an academic."
male,social&humanities,Other Type of School,"Verbal sexual harassment and inappropriate behaviour. Lewd comments, lewd questions, disclosure of their personal sex history, life, questions, desires, quandaries. Inappropriate commentary on female students. Womanizing comments. Questioned me about my own sex life, practices. Commented on my appearance every time they saw me, one way or another. Told stories of past inappropriate behaviour with students and provided justifications. Sexualized comments about my students. Ranking other departmental members by their looks and intelligence, in addition to ranking students in similar ways. Good looks = intelligence. Some of my students were better looking than me, according to him, and therefore more intelligent than me as well. It's a real ego boost to know that your colleague thinks that your 19 year old students out shine you in the realm of intellectual achievements. One day we were walking down a hallway in a classroom building and a young female student walked by. He turned his head, looked her up and down, and said - Damn, why do they have to be so cute? Couldn't they tone it down to make life easier for us? Spoke regularly of the influence he had on my eventual tenure application. "
male,natural,Regional Teaching College,A much older professor had a lot of graduate students over to his house. He proceeded to drink to much and request over and over that I massage his shoulders. This was in front of all the other graduate students. I relented and massaged his shoulders a little. He loudly and playfully moaned. Everyone laughed. I was really embarrassed. 
male,social&humanities,Other R1,I was invited to coffee by a senior faculty member that ended up as drinks at a restaurant. The course of the evening became progressively worse as this man twice my age promised to advance my career while he suggested other perks. He went on to explain how his marriage was stale and how cute I was and how he had to get to know me the monent he saw me. I was a visiting faculty member at an R1 public university who had just finished my dissertation. I trued to steer the conversation away from sexual inuendos but the senior faculty member would not let up. I had to state that my fiance was picking me uop and that I had to leave. He said he would live to see me again. I smiled politely and walked away. I told a permanent faculty member who expressed shock but that's it. I was only there for a yar and avoided this maan for the rest of my time there. No one else ever sought me out.
female,social&humanities,Small Liberal Arts College,Professor sexually harassed another professor
male,social&humanities,Small Liberal Arts College,"Senior colleague hit on me, made overt sexual advances on several occasions_—”including in his own home with his wife & child in rooms down the hall."
male,social&humanities,Other R1,a young gay graduate student often touched the bodies of female graduate students because he believed he could have access 
male,social&humanities,Other R1,"Cohortmate became fixated on the idea that I ""hated men"" and had forced his last OKCupid date, coincidentally a friend of mine, to decide she didn't want a second date. Screamed at me in our office. "
male,social&humanities,Regional Teaching College,"As an undergrad music major I had to take private lessons with the piano teacher. He sexually assaulted my best friend, also a piano major who was very very homesick and had no way to get home. He was from her hometown. He got her when she was drunk and high. She wouldn_—Èt report but I left the piano studio. He kept touching my arm. I would wear my hair down on the side he sat in to hide my face. He would try to brush it back or told me to pin it up. I couldn_—Èt take it anymore and left. "
male,NotAvailable,Other R1,"Senior white male colleague from another department (we share a building) came into my office & closed the door. He wanted to talk to me about my reappointment file (pretenure 3rd year review). He told me he was shocked it took so long to achieve 3rd yr review (it wasn_—Èt: I was on time), looked at my pregnant body & said _—“well it_—Ès because of all your pregnancies, no doubt._—ù (I_—Èd been pregnant once.) told me I was _—“brave_—ù to be so far behind (again: I was not) & _—“knocked up._—ù"
male,social&humanities,R2,Touched without consent repeatedly in a social situation. 
male,social&humanities,Other R1,"Senior white male colleague knocks on door, brings female undergraduate with him. Announces that he is going to hug her, needs _—“any woman to witness,_—ù before I can say anything has full-bear-hugged this undergrad. I protest, saying this is inappropriate and, in a joking tone to diffuse the sfuddnt_—Ès Obvious discomfort, I can_—Èt undo harassment for him by virtue of being a woman. He, still touching the student, said: _—“But it sure makes this look friendly, doesn_—Èt it._—ù"
male,social&humanities,Regional Teaching College,"Sexually harassed, assaulted and raped by a professor when I was an undergrad. This was in the 70's. "
male,NotAvailable,Other R1,"In my first tenure track job, my colleague (same rank, hired at same time) repeatedly posted highly innappropriate and offensive misogynist materials and comments on social media_—” where he was linked to all of our senior colleagues. No one else said anything."
NotAvailable,applied&formal,Small Liberal Arts College,"I started a new job as a visiting assistant professor and within the first month I got an email to my faculty email account from a source I couldn't trace back to that told me the sender had been watching me since I started working there ,found me very attractive and knew I was married but was interested in pursuing an affair with me. I wrote back to say I had no plans to cheat on my marriage."
male,social&humanities,Other R1,"I have never personally been harassed or assaulted by anyone in my department. However, I would definitely say that my department and my graduate student colleagues have certainly contributed to a hostile work environment within the department. When I entered, the graduate cohort definitely felt like a ""boys club"" where the students with the most power were men, and their behavior fueled socializing and hierarchies in the department. Most of their socializing consisted of drinking and taking drugs until losing all control of themselves. It was not uncommon for them to exposing themselves at parties and even public places like bars."
male,natural,Other R1,"My male boss (mid-50's) described his sexual attraction to a celebrity. On another occasion, he commented that it would be less expensive to hire women to do the job his wife did (cook, maid, prostitute..) He would constantly commend a female graduate student on what a good job she did ""taking care of her body"". This happened in a STEM lab in the last 5 years. "
male,social&humanities,Other R1,"It was my first national conference that I would be presenting at. Being a grad student, I didn_—Èt have a lot of money so I volunteered to help run the conference in exchange for my entry fee being waved. One of the coordinators of the conference, after setting up, suggested we all go eat. So we did and the conference_—Ès organization paid for the dinner and the very expensive wine. The second bottle of wine wasn_—Èt finished by the group and so the organizer took it back with him saying he didn't want to waste good wine. That night, the conference organizer in question sent me a text (he had all the volunteer numbers) suggesting that _—“this bottle of wine wasn_—Èt going to drink itself._—ù I remember feeling immense fear but I ignored the text, locked my door, and said the next day that I had put my phone on _—“do not disturb._—ù The next day, I was invited to dinner by a prominent scholar that I wanted to talk to about her work. To my surprise, several people, including the conference organizer were invited also. As long as I am with the group, I thought, it should be fine, and it was, until it was time to go back and four of the group entered a taxi and I found myself alone, in a city I had never been to before, with this man. We wandered around the Harvard campus and my brain was close to panic. I was creeped out, trying to keep the conversation casual, and wondering how to get away. This was before the time of Uber and Lyft. It was hard to think and I belatedly realized how much my wine glass kept being refilled. He eventually proposed sex which I refused_—_ again, and again. Somehow, I was grabbed and his lips were on mine. I pushed him away and strongly said _—“no._—ù We eventually made it back to the hotel where I went to my room, alone, and sobbed. My presentation at the conference was well received. I was hailed as _—“impressive_—ù and _—“brilliant._—ù Yet, all I could think of was avoiding the conference organizer. "
male,social&humanities,Other R1,"In grad school, I was paid $7500 for 9 months. After bills and rent, I didn_—Èt always have money left over to eat. So, when a PhD student at the same grad school who had also gone to my undergrad years before me offered to get dinner after one of his classes, I was relieved. We got dinner and drinks. The conversation was fine and I was thankful for the food. He complimented me on my intelligence and said I was pretty but that was it for that night.When he offered dinner after class again, I was, again, thankful that I would eat that night. This time, however, he kept pressing martinis on me and I kept saying no to more drinks and he then asked if I would fuck him. I said no, and he told me that he wanted some sort of compensation for the amount he was paying in dinner and drinks. I remember his hand on my thigh trying to get higher and him boasting about his, um, speed and that he could be _—“like a jackhammer._—ù Somehow, I got back to my apartment and then sobbed. When I would see this man in future years, my stomach would turn every time and when he got a job at a nearby college, I nearly threw up"
male,social&humanities,Elite Institution/Ivy League,"1. The Chair of the French Department tried to follow me home, with the intention of initiating sexual relations with me (Fall 1981); 2. I was propositioned repeatedly by a senior colleague (1986-1990); 3. I was groped by one senior colleague (1990) and propositioned by another (1990-1991)."
male,social&humanities,Other R1,I was stalked for a year 
male,NotAvailable,Other R1,"When I was a grad student, a professor tried to make out with me at a party that was pretty well-attended by the people in our department. I told him two or three times that it was a really bad idea, but he didn't let up. When he said ""Kiss me!"" and grabbed my behind, I pushed him aside, ran away, and hid behind a couch. I later found out that the very next thing he did was to sexually assault another student in a more egregious way. When she filed a complaint, I stepped forward as well."
male,social&humanities,Other Research Agency,"In summers 2002 & 2003, my first 2 summers after beginning PhD program, I went into the field to work on a large language documentation project. One of the program directors (and biggest name in the entire field) made it perfectly obvious within the first day of my arrival that he was ""available."" He hit on me repeatedly, which freaked me out b/c he was much older and had all the power. I did a lot of ""laughing it off,"" and swatting of hands. I played the coquettish thing so he would not be offended by my rebuffs and haaaated myself for it. I was terrified of being alone with him but often had to take meetings with him (in his hotel room-- that's where we were based). He often offered wine. Nothing happened, right? I was just constantly uncomfortable and needing to protect myself and my place in the project."
male,social&humanities,Small Liberal Arts College,"On my very first day as a Teaching Fellow, an older male faculty member told me that the best piece of advice he could give me is to always erase the chalkboard up and down, rather than side to side-- that way ""my ass won't shake."" Similar comments have continued ever since. Now at adjunct status, I feel relatively powerless and generally just grin and bear it. "
male,NotDetected,Other Type of School,"1989 (a long time ago) professor at Harding University (a Christian school associated with Church of Christ denomination) had side hustle of photography and his office was covered in photos of young college women that he had taken. Whenever I went to him with a question in his office, he would say, ""ok I'll answer your question but first give me a hug"" and, being the obedient Christian girl that I was, I would oblige and he would give me a two-armed full body hug. Happened numerous times but I was socialized to feel like he was just being fatherly. Then one Saturday I was driving next to the science center and saw him in the parking lot and drove over to say hi. Rolled window down and exchanged a few words and then he sticks his head inside the car and kisses my cheek. I was stunned and didn't know quite what to do so just drove away."
male,social&humanities,Other R1,"Soon after starting my graduate program, one of my intended dissertation committee members approached me at a ""welcome"" party for new graduate students to ask if I had any same sex encounter that I wanted to tell him about as he gave me a very creepy smile and backed me into a corner and grabbed me by the waist. Later I found out he had a reputation for sexually harassing and assaulting female graduate students. "
male,NotAvailable,R2,"A senior professor in my partner's department was drunk and he saw me from across the room and stumbled and fell over my child's train set on the floor and landed on my leg. Then when the host introduced me to him, he held onto my hand and wouldn't let go and started talking about a rape case he had heard of on the news in Pakistan. This man was drunk and falling all over me, while my small child was next to me and my partner was nearby. We were at a department party at a another senior faculty member's home. For a while the host just stood there with a grin on his face and then he then alerted my partner that there is a senior faculty who is drunk and talking to me. My partner then rushed to my side and saved me from further conversation with this man. I felt pressured to stay in the conversation because he was a senior faculty member in my partner's new department."
male,social&humanities,Other R1,"I apologized for not immediately recognizing a colleague in the hallway, explaining that he looked different due to a new pair of glasses. I said that I also appreciated unique glasses. He said, ""It's kind of the same thing as you wearing fancy lingerie under your clothes."" I said, ""no, not really the same thing at all"" and walked away. The creepiness and inappropriateness only hit me later"
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")","I don't even know where to start, so many things happened when I was a graduate student. One professor made wildly inappropriate comments and discussions about his sexual past in class. Every class. He once asked me, when I came to class with a bruise on my face from falling off of my bike, ""What? Does your boyfriend beat you or something?"" (in front of the entire class). Another professor physically assaulted me by slapping my arm hard and grabbing it to get me off of a wheelchair ramp (I didn't realize it was a wheelchair ramp, and there wasn't a wheelchair user coming). He later screamed at me in front of undergraduate students. I had a male graduate student peer smack me on the backside with his backpack when were were standing in front of an entire lecture hall full of undergraduates. When I was an undergraduate a departmental admin. assistant started a rumor that I was sleeping with a male professor. Oh, I have also faced some awful harassment from some male undergraduates, when I was a graduate student and again as a Visiting Assistant Professor."
male,NotDetected,Small Liberal Arts College,"At the time, I was a 27 year old female. On a phone interview for a tenure track position at a top tier liberal arts institution, the older male interviewer (only person on the call with me), talked to me for over an hour (this was supposed to be a 15 minute phone chat) about his personal life, culminating in him telling me a story about how he and my graduate advisor (another older male) wore speedos to seduce women in a hot tub at a conference. I felt incredibly uncomfortable, but did not end the call because it was a tenure-track job interview. I was not invited to an on-campus interview. I was advised to report him to HR, but did not pursue that for obvious reasons."
both,social&humanities,Regional Teaching College,"Was sexually harassed (lewd comments, inappropriate evaluations of my work and person) for years. Reported. Nothing was done. Witnessed a tenured faculty member physically assault a student in his office. Reported. Nothing was done. Had students show me firsthand, irrefutable evidence of multiple faculty members and administrators soliciting them for inappropriate relationships (sexts, etc.). Reported. Nothing was done. Was consistently body shamed, humiliated, and plagiarized by female colleagues who were complicit in (or afraid to challenge) the ""boys club."" Reported. Nothing was done. Finally left academia after a decade of trying to power through the toxic culture of my institution. Spent a year in therapy. Lost friends, was blamed or told I was overreacting by former colleagues. Feel embarrassed and frightened to maintain friendships with former colleagues who were sympathetic to my plight. Had to completely rebuild my life. I was a good teacher, a good colleague, a good scholar. My former institution, and my discipline, lost a lot when they lost me. "
male,social&humanities,Other R1,"One of our ""rockstar"" faculty members was known to have slept with every single female Asian grad student in our department. "
male,social&humanities,Other R1,"While an undergraduate, I was sexually assaulted by a fellow student and began an adjudication process. Part of this process was having the school's Title IX coordinator email my professors with vague details (i.e. that I was working with the office and might need some extra help and that professors should reach out to me and be flexible). I felt very lonely during this process and the professor in question emailed me offering to be a friend and ally. I desperately needed supportive people in my life and I was more than happy to try and take him up on his offer. He came on very strongly in class and in emails to me, complimenting my work endlessly. Eventually, during my senior year, he became my undergraduate thesis advisor in the department. In our meetings together he would often make strange comments about ""not wanting me to get the wrong idea."" For instance, he told me that he didn't want to shut the door when we met and that he didn't want to read more suggestive lines of my poetry out loud to me when giving critique ""in case someone walking by heard."" Also in these meetings, I would catch him looking at my chest, thighs, and other body parts in a sexualized way before averting his eyes. He told me inappropriate things about his childhood and tried to insert topics like incest into our conversations, perhaps because he had read my sexual abuse into my poetry or because he knew I was pursuing a Title IX case. He would constantly try to bring up my father or compare himself to my father (i.e. ""I know I'm not your dad, but I'm really proud of you""). He would constantly compare me to his girlfriend, later wife, and set up a meeting between us for unknown reasons. He seemed thrilled that it had gone well. He would ask me deeply personal questions about my case and my life and I would leave these meetings feeling as though I had something taken from me. He would send emails filled with winky and smiley faces. I felt unsettled by his behavior, but it wasn't until I started talking to others in the department that I learned I wasn't alone. One fellow student told me that she had quit the department because of him and that he ""loved little girls"" like me. I also found out that he had been sleeping with one of his master's students and dumped her as she was graduating. This relationship was initiated after he invited the student to go out for wine. Later, the professor shared with me the unofficial guide to grad school that he gave all hopeful MFAs. One of the pieces of advice was that ""some professors may prefer to meet over wine."" Also in the guide was a recommendation that students attend a popular writing conference so that they could ""have consensual sex with other writers ;)."" Almost every female student I knew that had taken his classes seemed to fall into his web, talking about him constantly and despairing if he criticized their work. One of these students sent the professor a very sexual poem that was explicitly about him, and instead of taking appropriate actions he sent her back an email asking not to write about him because he ""had to be careful about these things"" because he'd ""run into trouble before."" This professor is very well-connected in his field and seems to know everyone, especially since he runs a printing press. "
male,NotAvailable,Elite Institution/Ivy League,"When I was a grad student, a group of us - older grads and younger faculty, but some 40 and 50somethings too - from various universities went out for drinks and food after a conference reception. It was probably 11pm, we were in an upscale chain place in a major city. The bulk of the group were from a particular university. A married associate prof, male, hot shot in field, had a grad student on his lap (his advisee, not yet ABD), both were pretty drunk, and they started making out. It was pretty uncomfortable for all of the rest of us. We were waiting for food tho and a group of us promptly left. I was with a few other female grads and female committee member of mine and she was mid 40s at that point. We discussed how fucked up that was.I had a co-author who had been a grad student in that program and they told me that this faculty member did hot tub parties regularly with undergrads, slept with grads, etc. A couple years later I brought this up to a good friend who was this guy's advisee. She knew nothing of it and I believe her. I felt weird about telling her about it.Now, fast forward at least 5 years, and the grad student left the program but did publish with him. He's still a big name. I have no idea if he and his wife had an agreement about infidelity. And I'm still not totally sure to what degree this was wrong. But it isn't like he could write her a recommendation letter, right? I feel weird around him. "
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")","I was groped at a conference, during an evening off-site event. (specifically, I was standing next to a food truck by the beach, which was across the road from the conference hotel in Gulfport.)The harasser sidled up next to me as I talked to someone else and then tried to grab my butt and then my breasts. I faked a phone call to get away from him. "
male,social&humanities,Elite Institution/Ivy League,"A faculty member, ***, Department of Anthropology, cornered women at parties, kissed and groped them. "
male,social&humanities,Small Liberal Arts College,A colleague attempted to attack me in his office. I had to physically push him off of me and run out of the room. 
male,NotAvailable,Other R1,Professor made inappropriate sexual comments to me in class. Just blurted it out. After that point he graded me extremely harshly. I should have reported him.
male,NotDetected,R2,"When I was an undergraduate, the head of the department slapped my behind with a rolled up newspaper while I was walking down the hall. Another time, I caught him staring at my chest while we were having a meeting about planning an undergraduate event. "
male,social&humanities,Other R1,"(happened to friend, fellow student, late 90s): Clergy at R-1 university crossed boundary with friend who was seeking a conversion process under his counsel; interactions became more uncomfortable as clergy made inappropriate remarks, and violated personal space. Perpetrator leaned in to kiss friend, they ducked. Friend dropped conversion process (of course), university admin discouraged victim from reporting, but friend realized perpetrator had a known history of inappropriate behavior and university did nothing. Perpetrator (white) prided himself in being a race/civil rights advocate, went on to retire comfortably and remain 'beloved' in the public. Revolting."
male,social&humanities,Other R1,"Intimidated by sports coach. I was in the school weight/machine room and watched a school coach get really close and make inappropriate comments to university female students he was training (this was back in the late 90s/early 200s, I don't remember exactly what he said). I mentioned to a young woman working out next to me (she didn't seem to be part of that group the coach was training) that I didn't like the way he spoke to the women. Next time I went to the gym the coach menacingly cornered me saying ""I hear you've been saying things about me and I'm not going to have that."" I answered, with my pulse racing at unimaginable speed and with the most clueless expression I could muster ""I have absolutely no idea what you are talking about."" He looked at me hesitatingly for what seemed an eternity (probably just a few seconds) and walked away but warned me to watch what I said. I never reported this incident to anybody for reasons I stated above. "
male,applied&formal,Other R1,"Did not directly happen to me but to people around me. Lab head regarded male students as future colleagues, female students as sexual object. So no matter the merits, the men were treated to behaviors that would foster their professional careers, while women were objects of use or scorn. Said lab head was banging a student he also supervised. "
male,NotAvailable,Regional Teaching College,"I had to meet with a professor after I received a poor grade on a writing assignment. The class was on a topic of great interest to me, but outside my department. He told me it was because I wasn't smart enough. I tried to argue that I'd done the research, and he started laughing and said ""you know, you're smarter than you look."" At the end of the semester, we had mandatory individual meetings and again the comments about my appearance and how I couldn't be taken seriously because I wasn't attractive to men."
male,social&humanities,Small Liberal Arts College,"At two separate conferences a faculty member made unwanted advances, including verbal propositions and groping under the table and in a shared cab. I know from conversation he would do this to more than one student at any one conference."
male,social&humanities,Regional Teaching College,"A student routinely made sexist remarks in class, creating a toxic environment for me and other students. In spite of several discussions telling him to stop and many complaints to superiors, nothing was done. The semester just ended."
male,social&humanities,Other R1,"Two incidents to report. First, I (male, then in late twenties) had a peer make remarks concerning my appearance of a clearly sexual nature. The second incident was one witnessed: another of my peers ranted about our Department giving funding to women ""so they could become pregnant""."
male,applied&formal,Other R1,"someone put a tip of finger at my back,"
male,social&humanities,Other R1,"I was at a departmental function -- Christmas drinks or or some such -- during my time as a masters student and witnessed an undergrad crying because a prof had just pinned her against a vending machine and tried to put his hand up her skirt. The prof was verbally reprimanded by a senior faculty member at the event itself, but nothing else was done about his behaviour. "
male,social&humanities,Other R1,"Found out that one of my colleagues had slept with one of our undergrad students. This was consensual, but still makes me hugely uncomfortable. "
male,social&humanities,Other R1,"Shortly after I had started my post, I was out for drinks with a few members of the department. The head of department told a story about a professor in the department and a postgraduate student. This prof had touched this student inappropriately, and she had complained. But the HOD then said that this student had previously had a (consensual) relationship with another member of faculty, as if to imply that her complaint about inappropriate touching could therefore not be taken seriously. The whole thing was relayed like a big joke about this prof -- who is, for good reason, the butt of many departmental jokes -- and not like the serious incident it really should have been treated as. "
male,social&humanities,Other R1,"When I was applying to do my PhD, a senior (female) member of the department to which I was applying, and an ex-PhD student of the adviser with whom I was considering working both invited me for informal meetings to talk about my application. They both warned me that this particular adviser had a history of bullying his female postgraduate students; I later heard that this prof had caused at least one of his female students to leave the academy because of sexual comments and other bullying behaviour. "
male,NotDetected,Small Liberal Arts College,"Textbook grooming (I know now) while trying to write my undergraduate thesis. It was all about the control -- wanted me to quit all other activities, dictate my schedule, etc. Absolutely used my lack of self-confidence to try to make me think I was dependent on him for any possibility of career advancement, then failed me when I didn't want to agree to his rules. That's without getting into the many inappropriate conversations, comments, and touching."
male,social&humanities,Other R1,"I was assisting my faculty mentor at a conference -as I had many times previous - with his walker/wheelchair, and while I had caught him watching me before, this time he was drunk (I guess he had been drinking that afternoon, because it was only 5:00 pm or so). He leered at me as I bent over to adjust the equipment and said, _—“You know what I like best when women bend over to help me out? The view..._—ù and he tried to look down my blouse. I moved away, appalled, and his roommate/buddy looked away and said nothing. I excused myself and left. Later I asked some of his former graduate students about the incident (all women), and they confirmed he had said similar things to them while leveraging his disability to ask for their help."
male,social&humanities,Other R1,"Postcolonial studies professor in my department (English) introduced me to another student as ""the graduate student I would most likely have an affair with."" "
male,social&humanities,Elite Institution/Ivy League,I was asked to coffee by a famous visiting professor who proceeded to put his hand on my leg and asked me to sleep with him. 
male,applied&formal,Other R1,"I was a witness. A graduate student contacted me a year after I happened to walk in on her and her department chair. At the time I had a sense I had interrupted some type of physical intimacy. When the student called me a year later, she told me she had been very happy to see me at that moment because I had interrupted something very awkward. She was going to sue the harasser and asked if I would testify to seeing them together within arm's reach. However, I didn't hear from her or her lawyer again."
male,social&humanities,Elite Institution/Ivy League,Inappropriate sexual advances at a work Christmas party at my own institution in the UK. The perpetrator had a reputation for this and approached another member of staff in the same way that night.
male,social&humanities,Other R1,Emailed a lewd photograph
male,social&humanities,Elite Institution/Ivy League,"Several white male faculty members that have been participating in the annual summer institute harassed and groped women, me included, but I've heard from several other women since."
male,social&humanities,Other R1,"This happened in the 1990s, shortly after I received tenure and shortly after the senior professor in my sub-discipline (who had been a mentor to me) passed away. A male full professor in my department sexually harassed/assaulted several female graduate students in my department. "
male,social&humanities,Other R1,Repeated gender-based harassment
male,social&humanities,Elite Institution/Ivy League,"2012. Professor in philosophy course (mostly male students) went on long digressions during lecture about how he liked Springtime because he enjoyed looking at undergraduate women_—Ès legs in skirts. This happened more than once and he would elaborate on how undergrad women shouldn_—Èt cover up too much, which races he prefered, etc. He used the phrase _—“sexually aroused_—ù more than once. Students around me (all men) seemed to think this was hilarious and laughed. "
male,social&humanities,Small Liberal Arts College,"My mentor asked me to go to a hotel with him. I laughed and hoped he was joking. He wasn't. He sabotaged my applications to graduate school. When I complained, he got a slap on the hand and I was counseled by the man who handled the complaint that I was not allowed to talk about the matter to anyone else. Of course, I was slandered at my alma mater by the mentor. It took decades to recover and totally altered my chosen career path. Ten years later I was in graduate school in a totally different field. "
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")","1. a professor stared at my chest while alone in his office as a new graduate student, for like 10 whole minutes 2. a faculty colleague performing my teaching evaluation (he was tenured, i was not yet), stood side up against me in front of my students in my classroom and lectured me on the definition of rape, saying i had it wrong and shouldn't include 'rape' as part of my definition of sexual harassment in my syllabus"
female,social&humanities,Elite Institution/Ivy League,"Pregnancy discrimination: I am not sure if this counts as sexual harassment, but it was highly gendered and obviously the result of sexual behaviour. I was asked to resign my postdoctoral position for the entire academic year in which I would give birth. I spent the better part of the fellowship term fighting the Organization_—Ès effort and researching my nearly non-existent legal right to keep the award they were trying to revoke."
male,social&humanities,Other R1,"A professor in our department had a long history of sexually harassing students, usually Master's students. He was initially very friendly with students, wanting to chat with them, learn about them, and offering them opportunities to work with him or share is data. Then it would start getting weird and predatory. He would talk about sexual things (but always have some thin thread of connection to ""research"", even though he wasn't a sexuality researcher), would randomly touch us (e.g., put his hand on our hands), show us his BDSM character on his computer in Second Life, email inappropriate pictures (again with thin connections to research), would comment on other women's bodies and breasts. Many students who he was supervising ended up filing complaints and then leaving the program because of him. And yet he maintained his position in the department. "
male,social&humanities,Other R1,"Inappropriate comments galore. Example: Head of program, a publicly much esteemed elderly man, joking about how much he liked his new glasses because now he could see how much female students were NOT wearing. Chuckles ensued from the other two male faculty members present. "
male,social&humanities,Other R1,"(2007) As an undergrad, a Professor I took a class from only stared at my chest when talking to me, gave all the women (50% of the class) in the class low grades (men all received A's) and told the women they could raise them if they met him privately in his office. I went once, but left almost immediately because something was off. (2010) Professor who was/is prominent in my subfield at the time just stared at my chest during the entire conversation; (2015) Professor I worked for continually made lewd and inappropriate comments while teaching, and during TA meetings the comments were worse"
male,natural,Regional Teaching College,"at a regional conference in 2005, I saw one of the professors in my dept and a chair at a neighboring school plop down $20 bills to a very uncomfortable-looking and probably frightened female undergrad, about 19-20 years old, from a 3rd institution in a hotel bar, as if they were propositioning her. That professor has done other creepy/propositioning things to other students in my department since then."
male,social&humanities,NotAvailable,"I was sitting in the audience at conference panel; a professor in field sits next to me, and, things felt weird after a few minutes. It seemed he kept inching even closer to me and then he leans in and says: I hadn't seen such an incredibly sexy woman at an academic conference before. "
male,social&humanities,Regional Teaching College,My interpersonal communication instructor asked me to have sex with him.
male,social&humanities,Other R1,Chair of Search Committee for TT job in the department in which I was doing a post-doc
male,social&humanities,Other R1,As a junior faculty member I asked a senior colleague to read my book proposal. He suggested we discuss it at a bar and proceeded to work through 14 drinks as we discussed it (I started counting when it was getting crazy). He tried to kiss me at the end of the evening. Turns out most other colleagues knew about his drinking problem but I was too new to the institution to have known.
male,applied&formal,Other R1,"I was sitting at my desk and suddenly felt hands on my shoulders. A senior faculty member was running my back and talking to me in a child voice, _—“is everything okay, are you alright, what can I do to make it better._—ù Several days later this sane person asked if I was suicidal. "
